rank,name,scores_overall
170.0,國立臺灣大學,55.5
450.5,國立臺灣科技大學,37.1–41.6
450.5,國立清華大學,37.1–41.6
550.5,中國醫藥大學,33.5–37.0
550.5,國立成功大學,33.5–37.0
550.5,國立陽明交通大學,33.5–37.0
550.5,國立陽明大學,33.5–37.0
550.5,臺北醫學大學,33.5–37.0
700.5,長庚大學,26.0–33.4
700.5,國立中山大學,26.0–33.4
700.5,國立臺灣師範大學,26.0–33.4
900.5,亞洲大學,19.0–25.9
900.5,中原大學,19.0–25.9
900.5,輔仁大學,19.0–25.9
900.5,高雄醫學大學,19.0–25.9
900.5,國立中央大學,19.0–25.9
900.5,國立政治大學,19.0–25.9
900.5,國立中興大學,19.0–25.9
900.5,國立東華大學,19.0–25.9
900.5,國立臺北大學,19.0–25.9
900.5,國立臺北科技大學,19.0–25.9
900.5,國立臺灣海洋大學,19.0–25.9
