rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
10,1,University of Oxford,96.0,10,91.8,5,99.5,1,99.1,14,67.0,157,96.3,19,United Kingdom,"20,300",11.0,40%,46 : 54,University of Oxford,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",False,False
20,2,University of Cambridge,94.8,20,92.1,3,98.8,2,97.1,37,52.9,269,94.3,39,United Kingdom,"18,750",10.9,37%,46 : 54,University of Cambridge,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",False,False
30,3,Stanford University,94.7,30,93.6,2,96.8,5,99.9,6,64.6,177,79.3,169,United States,"15,878",7.4,23%,43 : 57,Stanford University,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",False,False
40,4,Massachusetts Institute of Technology,94.2,40,91.9,4,92.7,9,99.9,4,87.6,62,89.0,89,United States,"11,231",8.7,34%,38 : 62,Massachusetts Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Other Health,General Engineering,Biological Sciences,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies)",False,False
50,5,California Institute of Technology,94.1,50,94.5,1,97.2,4,99.2,12,88.2,57,62.3,325,United States,"2,255",6.5,29%,33 : 67,California Institute of Technology caltech,"Languages, Literature & Linguistics,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Business & Management,Biological Sciences,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering",False,False
60,6,Harvard University,93.6,60,90.1,8,98.4,3,99.6,8,48.7,345,79.7,164,United States,"20,595",9.1,26%,48 : 52,Harvard University,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",False,False
70,7,Princeton University,92.3,70,89.9,9,93.6,7,99.4,10,57.3,224,80.1,159,United States,"7,996",8.2,24%,45 : 55,Princeton University,"Languages, Literature & Linguistics,Biological Sciences,Other Health,Psychology,Sociology,Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Architecture,Agriculture & Forestry,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
80,8,Yale University,91.3,80,91.6,6,93.5,8,97.8,33,51.5,289,68.3,266,United States,"12,318",5.2,20%,50 : 50,Yale University,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",False,False
90,9,Imperial College London,90.3,90,85.8,13,87.7,18,97.8,31,67.3,154,97.1,15,United Kingdom,"16,425",11.6,56%,38 : 62,Imperial College London,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",False,False
100,10,The University of Chicago,90.2,100,90.2,7,90.1,13,99.0,17,41.4,528,70.9,243,United States,"13,562",6.1,25%,44 : 56,The University of Chicago,"Business & Management,Physics & Astronomy,Economics & Econometrics,Psychology,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Archaeology,Computer Science,Art, Performing Arts & Design,Geography,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Chemistry",False,False
